Establishment Type,Establishment Sub-Type,Establishment Name,Contact Title,Contact Name,Address 1,Address 2,Town/City,Postcode,Phone,Fax,Email,Website,Establishment Notes,SEED Code,Nursery Class,School Annexe,Neighbourhood,Multi-Member Ward,X,Y,Short Name,Opening Hours,Religion,Associated secondary school,Meal provider,More about primary school meals,Eco-Schools status,More about the Eco-Schools programme,Catchment area map,Glow SCA,Glow ASM,Kitchen,Business Manager,Business Manager E-mail,Active School Co-ordinator,ASC Phone,CC Opening Hours,CC Bus Routes,CC Facilities,CC Cafe,CC Internet Access,CC Key Activities,CC Disabled Access,CC Projects In Centre,CC Programme,CC More Information,CC Location description,ICT Coordinator,HT Email,Av SOS Roll
Schools - Primary,RC Primary,Holy Cross RC Primary School,Head Teacher,Jackie McCarry,Craighall Road,,Edinburgh,EH6 4RE,0131 552 1972,0131 478 7033,Admin@Holycross.edin.sch.uk,http://www.holycross.edin.sch.uk,,5525225,YES,,North,Forth,325400,676250,Holy Cross RC PS,,Roman Catholic,St Thomas of Aquin`s RC High,Edinburgh Catering Services,,Silver,,,Jackie McCarry,Jim Scott,,Jim Scott,Jim.Scott@ea.edin.sch.uk,Nicky Wheatley,07799 868054,,,,,,,,,,,,Jim Scott (Business Manager),Jackie.McCarry@holycross.edin.sch.uk,312
Schools - Primary,ND Primary,James Gillespie's Primary School,Head Teacher,Anthea Grierson,Whitehouse Loan,,Edinburgh,EH9 1BD,0131 447 1014,0131 447 1042,Admin@jamesgillespies-pri.edin.sch.uk,http://www.jamesgillespies-pri.edin.sch.uk,,5525829,YES,,South,Meadows/Morningside,325011,672164,James Gillespie`s PS,,Non-Denominational,James Gillespie`s High,Edinburgh Catering Services,,Silver,,,Janice McGrath-Scott,Vacancy,Yes,Linsey Wright,Linsey.Wright@jamesgillespies-pri.edin.sch.uk,Jonathan Wallace,07799 861473,,,,,,,,,,,,Janice McGrath (Deputising Depute Head Teacher),Anthea.Grierson@jamesgillespies-pri.edin.sch.uk,435
Schools - Primary,ND Primary,Juniper Green Primary School,Head Teacher,Karen Noble,20 Baberton Mains Wynd,,Edinburgh,EH14 3EE,0131 442 2121,0131 453 2742,Admin@junipergreen.edin.sch.uk,http://www.junipergreen.edin.sch.uk,,5525926,YES,,South West,Pentland Hills,319776,668909,Juniper Green PS,,Non-Denominational,Currie High,Mitie,,Green,,,Emma Dignan,Arlene McNally,,Christine McColl,Helen.Galway@ea.edin.sch.uk,Bev Anderson,0131 477 7788,,,,,,,,,,,,Christopher Doran (Primary Teacher),Karen.Noble@junipergreen.edin.sch.uk,449
Schools - Primary,ND Primary,Kirkliston Primary School,Head Teacher,Lynn Paterson,15 Carmel Road,Kirkliston,Edinburgh,EH29 9DD,0131 333 3260,0131 335 3582,Admin@kirkliston.edin.sch.uk,http://www.kirkliston.edin.sch.uk,,5531721,,,West,Almond,312036,674548,Kirkliston PS,,Non-Denominational,Queensferry High,Edinburgh Catering Services,,Green Flag,,,Teresa A Mooney,Teresa A Mooney,Yes,Linsey wright (temp),linsey.wright@ea.edin.sch.uk,Barry McGuigan,0131 319 3200/07799 861494,,,,,,,,,,,,Helen Bartholomew (Kirkliston Nursery),Lynn.Paterson@kirkliston.edin.sch.uk,332
Schools - Primary,ND Primary,Leith Primary School,Head Teacher,Alasdair Friend,St Andrew's Place,,Edinburgh,EH6 7EG,0131 554 4844,0131 467 7988,Admin@Leith-pri.edin.sch.uk,http://www.leith-pri.edin.sch.uk,,5532221,YES,,North,Leith,327149,675895,Leith PS,,Non-Denominational,Leith Academy,Edinburgh Catering Services,,Silver,,,Fiona Craig,John Wall,Yes,John Wall,John.Wall@ea.edin.sch.uk,Craig Renwick,07884 228020,,,,,,,,,,,,Fiona Craig (Principal Teacher) and John Wall (Business Manager),Alasdair.Friend@Leith-pri.edin.sch.uk,280
Schools - Primary,ND Primary,Leith Walk Primary School,Head Teacher,Jackie Reid,9 Brunswick Road,,Edinburgh,EH7 5NG,0131 556 3873,0131 556 6524,Admin@leithwalk.edin.sch.uk,http://www.leithwalk.edin.sch.uk,,5526124,YES,,North,Leith Walk,326470,674780,Leith Walk PS,,Non-Denominational,Drummond Community High,Edinburgh Catering Services,,Green Flag,,,Stewart Crabb,Lorna Greig,,Viv Bowden,Vivienne.Bowden@ea.edin.sch.uk,Nicola Barclay,07825 842971,,,,,,,,,,,,Vivienne Bowden (Business Manager),Vivienne.Bowden@ea.edin.sch.uk,233
Schools - Primary,ND Primary,Liberton Primary School,Head Teacher,Paul Ewing,229 Gilmerton Road,,Edinburgh,EH16 5UD,0131 664 2337,0131 666 0599,Admin@liberton-pri.edin.sch.uk,http://www.liberton-pri.edin.sch.uk,,5531829,YES,,South,Liberton/Gilmerton,327470,670610,Liberton PS,,Non-Denominational,Liberton High,Edinburgh Catering Services,,Bronze,,,Trevor Wemyss,Rosalind Tracey,,Carol Bryce,Carol.Bryce@ea.edin.sch.uk,Ellie Forgan,07884 210647,,,,,,,,,,,,Paul Ewing (Head Teacher),Paul.Ewing@liberton-pri.edin.sch.uk,417
Schools - Primary,ND Primary,Longstone Primary School,Head Teacher,Irene Mirtle,Redhall Grove,,Edinburgh,EH14 2DU,0131 443 4743,0131 443 5297,Admin@longstone.edin.sch.uk,http://www.longstone.edin.sch.uk,,5526523,YES,,South West,Sighthill/Gorgie,321280,670490,Longstone PS,,Non-Denominational,Firrhill High,Edinburgh Catering Services,,Bronze,,,Hayley Mears,Carol Andrews,,Sheena Laing,Sheena.Laing@ea.edin.sch.uk,Lorna Norman,07884 191761,,,,,,,,,,,,Lorna Robertson (Primary Teacher) and Sheena Laing (Business Manager),Irene.Mirtle@longstone.edin.sch.uk,270
Schools - Primary,ND Primary,Lorne Primary School,Head Teacher,Colin McLean,7 Lorne Street,,Edinburgh,EH6 8QS,0131 554 2308,0131 467 7228,Admin@Lorne.edin.sch.uk,http://www.lorne.edin.sch.uk,,5526620,YES,,North,Leith Walk,326781,675421,Lorne PS,,Non-Denominational,Leith Academy,Edinburgh Catering Services,,Green,,,Dave Short,John Wall,Yes,John Wall,John.Wall@ea.edin.sch.uk,Craig Renwick,07884 228020,,,,,,,,,,,,David Short (Depute Head Teacher) and John Wall (Staff),Colin.McLean@Lorne.edin.sch.uk,262
Schools - Primary,ND Primary,Murrayburn Primary School,Head Teacher,Michael Urquhart,1 Sighthill Loan,,Edinburgh,EH11 4NP,0131 453 5339,0131 442 1709,Admin@murrayburn.edin.sch.uk,,,5527023,YES,,West,Sighthill/Gorgie,320016,670665,Murrayburn PS,,Non-Denominational,Forrester High,Edinburgh Catering Services,,Silver,,,Iona Morisson,Elizabeth Mclellan,,Elizabeth McLellan,Elizabeth.McLellan@ea.edin.sch.uk,Charlotte Robertson,0131 442 2201/07884 244362,,,,,,,,,,,,David Edwards (Primary Teacher) and Liz Mclellan (Business Manager),Michael.Urquhart@Murrayburn.edin.sch.uk,394
Schools - Primary,ND Primary,Nether Currie Primary School,Head Teacher,Sheila Nicol,23 Thomson Crescent,Currie,Edinburgh,EH14 5JR,0131 449 3140,0131 449 2477,Admin@Nethercurrie.edin.sch.uk,http://www.nethercurrie.edin.sch.uk,,5540224,,,South West,Pentland Hills,318620,668220,Nether Currie PS,,Non-Denominational,Currie High,Edinburgh Catering Services,,Green Flag,,,Lynne Cuerden,Nicola Mowat,,Nicola Mowat,Nicola.Mowat@ea.edin.sch.uk,Bev Anderson,0131 477 7788,,,,,,,,,,,,Lynne Cuerden (Primary Teacher),Sheila.Nicol@nethercurrie.edin.sch.uk,148
Schools - Primary,ND Primary,Newcraighall Primary School,Head Teacher,Janet Paterson,Whitehill Street,Newcraighall,Edinburgh,EH21 8QZ,0131 669 3598,0131 657 4134,Admin@newcraighall.edin.sch.uk,http://www.newcraighall.edin.sch.uk,,5527120,YES,,East,Portobello/Craigmillar,332130,671880,Newcraighall PS,,Non-Denominational,Castlebrae High,Edinburgh Catering Services,,Bronze,,,Caroline Leslie,Caroline Leslie,,Caroline Leslie,Caroline.Leslie@newcraighall.edin.sch.uk,"Shirley Banks (Mon, Tues)",07774 468782,,,,,,,,,,,,Jan Paterson (Head Teacher),Jan.Paterson@newcraighall.edin.sch.uk,127
Schools - Primary,ND Primary,Niddrie Mill Primary School,Head Teacher,Anne Pettit,20 Moffat Way,,Edinburgh,EH16 4PY,0131 468 7025,0131 468 7027,Admin@niddriemill.edin.sch.uk,http://www.niddriemill.edin.sch.uk,,5527228,,,East,Portobello/Craigmillar,329684,671875,Niddrie Mill PS,,Non-Denominational,Castlebrae High,Edinburgh Catering Services,,Bronze,,,Diane Bell,Rosemary Birrell,Yes,Lyndsaye Tippen,Lyndsaye.tippen@niddriemill.edin.sch.uk,"Shirley Banks (Mon, Tues)",07774 468782,,,,,,,,,,,,Diane Bell (Primary Teacher),Anne.Pettit@niddriemill.edin.sch.uk,270
Schools - Primary,ND Primary,Oxgangs Primary School,Head Teacher,Liz Walshe,60 Oxgangs Road North,,Edinburgh,EH13 9DS,0131 441 3649,0131 441 9838,Admin@Oxgangs.edin.sch.uk,http://www.oxgangs.edin.sch.uk,,5527422,YES,,South West,Colinton/Fairmilehead,322906,669533,Oxgangs PS,,Non-Denominational,Firrhill High,Amey,,Silver,,,Graeme Hunter,Carol Munro,,Carol Munro,Carol.Munro@ea.edin.sch.uk,Lorna Norman,07884 191761,,,,,,,,,,,,Graeme Hunter (Primary Teacher) and Liz Walshe (Head Teacher),Liz.Walshe@oxgangs.edin.sch.uk,388
Schools - Primary,ND Primary,Parsons Green Primary School,Head Teacher,Willie French,60 Meadowfield Drive,,Edinburgh,EH8 7LU,0131 661 4459,0131 661 6405,Admin@parsonsgreen.edin.sch.uk,http://www.parsonsgreen.edin.sch.uk,,5527627,YES,,East,Craigentinny/Duddingston,328680,673370,Parsons Green PS,,Non-Denominational,Portobello High,Edinburgh Catering Services,,Silver,,,,Mandy Docherty,Yes,Asif Ahmed,Asif.Ahmed@ea.edin.sch.uk,Jayne Smith (term-time only),0131 661 4459/07884 271028,,,,,,,,,,,,Jennifer McGowan (Principal Teacher),willie.french@parsonsgreen.edin.sch.uk,302
Schools - Primary,ND Primary,Pentland Primary School,Head Teacher,Jacqueline Mackenzie,Oxgangs Green,,Edinburgh,EH13 9JF,0131 445 1510,0131 445 7710,Admin@pentland.edin.sch.uk,http://www.pentland.edin.sch.uk,,5530920,YES,,South West,Colinton/Fairmilehead,323848,668905,Pentland PS,,Non-Denominational,Firrhill High,Edinburgh Catering Services,,Silver,,,Rachel Bennett,Karen Robertson,Yes,Lisa McCluskey,lisa.mccluskey@ea.edin.sch.uk,Lorna Norman,07884 191761,,,,,,,,,,,,Derek Peach (Primary Teacher) and Faye Calder (Depute Head Teacher),Jacqueline.MacKenzie@pentland.edin.sch.uk,420
Schools - Primary,ND Primary,Pirniehall Primary School,Head Teacher,Mary Ryan-Gillespie,4 West Pilton Crescent,,Edinburgh,EH4 4EP,0131 332 5256,0131 538 7093,Admin@pirniehall.edin.sch.uk,http://www.pirniehall.edin.sch.uk,,5527821,YES,,North,Forth,322030,676310,Pirniehall PS,,Non-Denominational,Craigroyston Community High,Amey,,Green Flag,,,Lynn Goss,Lynn Goss,,Suzette Barclay,Suzette.Barclay@ea.edin.sch.uk,Andrew Gallacher,07711 390745/0131 477 7801,,,,,,,,,,,,Lynn Goss (Principal Teacher),Mary.Gillespie@pirniehall.edin.sch.uk,271
Schools - Primary,ND Primary,Preston Street Primary School,Head Teacher,Maureen Allan (Acting),169 Dalkeith Road,,Edinburgh,EH16 5BR,0131 667 4208,0131 667 9217,Admin@prestonstreet.edin.sch.uk,http://www.prestonstreet.edin.sch.uk,,5528127,,,South,Southside/Newington,326640,672490,Preston Street PS,,Non-Denominational,James Gillespie`s High,Edinburgh Catering Services,,Silver,,,Simon MacLean,Rachel Somerville,,Rachel Somerville,rachel.sommerville@ea.edin.sch.uk,Fiona Damen (Weds),07769 922742,,,,,,,,,,,,Simon Maclean (Principal Teacher),Maureen.Allan@prestonstreet.edin.sch.uk,270
Schools - Primary,ND Primary,Prestonfield Primary School,Head Teacher,Fiona Murray,Peffermill Road,,Edinburgh,EH16 5LJ,0131 667 1336,0131 662 0813,Admin@Prestonfield.edin.sch.uk,http://www.prestonfield.edin.sch.uk,,5527929,YES,,South,Southside/Newington,327710,671480,Prestonfield PS,,Non-Denominational,Castlebrae High (Dual status with Liberton High),Edinburgh Catering Services,,Silver,,,Vicky Morgan,Debra Long,Yes,Linda Watt,linda.watt@abbeyhill.edin.sch.uk,Ellie Forgan,07884 210647,,,,,,,,,,,,Debra Long (Teacher),Fiona.Murray@prestonfield.edin.sch.uk,198
Schools - Primary,ND Primary,Queensferry Primary School,Head Teacher,Karen MacGregor,Burgess Road,South Queensferry,Edinburgh,EH30 9NX,0131 331 1349,0131 331 5771,admin@queensferry-pri.edin.sch.uk,http://www.queensferry-pri.edin.sch.uk,,5518024,YES,,West,Almond,313091,678034,Queensferry PS,,Non-Denominational,Queensferry High,Edinburgh Catering Services,,Silver,,,Lee Carson,Jane Wallace,,Jane Wallace,Jane.Wallace@ea.edin.sch.uk,Barry McGuigan,0131 319 3200/07799 861494,,,,,,,,,,,,Christine Sawers (Primary Teacher) and Lee Carson (Primary Teacher) and Susan Wainwright (Primary Teacher),Karen.MacGregor@queensferry-pri.edin.sch.uk,404
Schools - Primary,ND Primary,Ratho Primary School,Head Teacher,Claire McGlynn,1 School Wynd,Ratho,Edinburgh,EH28 8TT,0131 333 1293,0131 333 2847,Admin@ratho.edin.sch.uk,http://www.ratho.edin.sch.uk,,5540623,YES,,South West,Pentland Hills,313594,670776,Ratho PS,,Non-Denominational,Balerno Community High,Edinburgh Catering Services,,Green Flag,,,Sarah Hall,Sandra Clelland,,Nicola Mowat,Nicola.Mowat@ea.edin.sch.uk,"Bev Anderson (Mon, Tue, Wed)",07799 861460/0131 477 7788,,,,,,,,,,,,Sarah Hall (Primary Teacher),Claire.McGlynn@ratho.edin.sch.uk,138
Schools - Primary,ND Primary,Roseburn Primary School,Head Teacher,Viv Donaldson,64 Roseburn Street,,Edinburgh,EH12 5PL,0131 337 6096,0131 476 7810,Admin@Roseburn.edin.sch.uk,http://www.roseburn.edin.sch.uk,,5528224,YES,,West,Corstorphine/Murrayfield,322864,672969,Roseburn PS,,Non-Denominational,Craigmount High,Edinburgh Catering Services,,Green Flag,,,Elaine Reid,Christine McColl,,Christine McColl,Christine.McColl@ea.edin.sch.uk,Alisa Wilson,0131 336 2532/07825 843159,,,,,,,,,,,,Elaine Reid (Primary Teacher),Vivien.Donaldson@roseburn.edin.sch.uk,241
Schools - Primary,ND Primary,Royal Mile Primary School,Head Teacher,Nicky Johnstone,86 Canongate,,Edinburgh,EH8 8BZ,0131 556 3347,0131 557 9186,Admin@royalmile.edin.sch.uk,http://www.royalmile.edin.sch.uk,,5541727,YES,,South,City Centre,326582,673816,Royal Mile PS,,Non-Denominational,James Gillespie`s High,Edinburgh Catering Services,,Bronze,,,Nicky Johnstone,Evelyn Luscombe,,Graeme Greig,Graeme.Greig@ea.edin.sch.uk,Jonathan Wallace,07799 861473,,,,,,,,,,,,Graeme Greig (Business Manager) and Nicky Johnston (Head Teacher),Nicky.Johnston@royalmile.edin.sch.uk,146
Schools - Primary,ND Primary,Sciennes Primary School,Head Teacher,Alison Noble,10 Sciennes Road,,Edinburgh,EH9 1LG,0131 667 1243,0131 667 9853,Admin@sciennes.edin.sch.uk,http://www.sciennes.edin.sch.uk,,5528526,,,South,Southside/Newington,325901,672338,Sciennes PS,,Non-Denominational,James Gillespie`s High,Edinburgh Catering Services,,Green Flag,,,Angela Christie,Angela Christie,Yes,Angela Christie,Angela.Christie@ea.edin.sch.uk,Jonathan Wallace,07799 861473,,,,,,,,,,,,Angela Christie (Business Manager) and Lucy Gallagher (Principal Teacher),Alison.Noble@sciennes.edin.sch.uk,634
Schools - Primary,ND Primary,Sighthill Primary School,Head Teacher,Anne Gallagher,1 Calder Park,,Edinburgh,EH11 4NF,0131 453 2464,0131 442 2842,Admin@Sighthill.edin.sch.uk,,,5528623,YES,,South West,Sighthill/Gorgie,319300,670420,Sighthill PS,,Non-Denominational,Wester Hailes Education Centre,Edinburgh Catering Services,,Silver,,,Neil Adams,Rachel Somerville,Yes,Rachel Somerviille,Rachel.Somerville@ea.edin.sch.uk,Charlotte Robertson,0131 442 2201/07884 244362,,,,,,,,,,,,Neil Adams (Principal Teacher),Ann.Gallagher@craigroyston-pri.edin.sch.uk,196
Schools - Primary,ND Primary,South Morningside Primary School,Head Teacher,Elizabeth Grierson,116 Comiston Road,,Edinburgh,EH10 5QN,0131 447 5446,0131 446 9839,Admin@southmorningside.edin.sch.uk,http://www.southmorningside.edin.sch.uk,,5528925,YES,,South,Meadows/Morningside,324340,670470,South Morningside PS,,Non-Denominational,Boroughmuir High,Edinburgh Catering Services,,Silver,,,,Margo O`Connor,,Margo O'Connor,Margo.O'Connor@ea.edin.sch.uk,Andrew Caldwell,07825 386710/0131 229 9703,,,,,,,,,,,,Margo O'Connor (Business Manager),Elizabeth.Grierson@southmorningside.edin.sch.uk,601
Schools - Primary,RC Primary,St Catherine's RC Primary School,Head Teacher,Paul Hunter,30 Gracemount Drive,,Edinburgh,EH16 6RN,0131 664 4257,0131 672 2919,Admin@st-catherines.edin.sch.uk,http://www.st-catherines.edin.sch.uk,,5529220,YES,,South,Liberton/Gilmerton,327818,668449,St Catherine`s RC PS,,Roman Catholic,Holy Rood RC High,Edinburgh Catering Services,,Green Flag,,,Frances Kelly,Ann Auld,,Frances Kelly,Frances.Kelly@ea.edin.sch.uk,Phil Kidd,0131 664 7440/07824 622953,,,,,,,,,,,,Grace Murray-Cavanagh (Teacher),Paul.Hunter@st-catherines.edin.sch.uk,224
Schools - Primary,RC Primary,St Cuthbert's RC Primary School,Head Teacher,Catriona Taylor,9 Hutchison Crossway,,Edinburgh,EH14 1RP,0131 443 2621,0131 443 9298,Admin@st-cuthberts.edin.sch.uk,http://www.st-cuthberts.edin.sch.uk,,5529328,,,West,Fountainbridge/Craiglockhart,322538,671552,St Cuthbert`s RC PS,,Roman Catholic,St Augustine`s RC High,Edinburgh Catering Services,,Silver,,,Claire Baxter,Claire Baxter,,Kathleen Barclay,kathleen.barclay@st-cuthberts.edin.sch.uk,Paddy Dearlove,07884 203270,,,,,,,,,,,,Jennifer Parker,Catriona.Taylor@st-cuthberts.edin.sch.uk,153
Schools - Primary,RC Primary,St David's RC Primary School,Head Teacher,Siobhan Kellock,4 West Pilton Crescent,,Edinburgh,EH4 4EP,0131 332 3500,0131 332 6085,Admin@st-davids.edin.sch.uk,http://www.st-davids.edin.sch.uk,,5529425,YES,,North,Forth,322108,676306,St David`s RC PS,,Roman Catholic,St Augustine`s RC High,Amey,,Green Flag,,,Anne Macintosh,Anne MacIntosh,,Suzette Barclay,Suzette.Barclay@ea.edin.sch.uk,Andrew Gallacher,07711 390745/0131 477 7801,,,,,,,,,,,,Anne MacIntosh (Principal Teacher/Support for Learning),Siobhan.Kellock@st-davids.edin.sch.uk,270
Schools - Primary,RC Primary,St Francis' RC Primary School,Head Teacher,Margot MacAlister,20 Moffat Way,,Edinburgh,EH16 4PY,0131 621 6600,0131 621 6603,Admin@st-francis.edin.sch.uk,http://www.st-francis.edin.sch.uk,,5529522,,,East,Portobello/Craigmillar,329645,671934,St Francis` RC PS,,Roman Catholic,Holy Rood RC High,Edinburgh Catering Services,,Bronze,,,Karen McLeod,Elizabeth Docherty,,Sylvia Hawthorne,Sylvia.Hawthorne@ea.edin.sch.uk,"Shirley Banks (Mon, Tues)",07774 468782,,,,,,,,,,,,Theresa Walker (Learning Assistant),margot.macalister@st-francis.edin.sch.uk,175
Schools - Primary,RC Primary,St John Vianney RC Primary School,Head Teacher,Helen Hill,17 Ivanhoe Crescent,,Edinburgh,EH16 6AU,0131 664 1742,0131 672 2854,Admin@st-johnvianney.edin.sch.uk,,,5529824,YES,,South,Liberton/Gilmerton,327760,670120,St John Vianney RC PS,,Roman Catholic,Holy Rood RC High,Edinburgh Catering Services,,Green Flag,,,Alice Bacciarelli,Frances Kelly,Yes,Frances Kelly,frances.kelly@ea.edin.sch.uk,Ellie Forgan,07884 210647,,,,,,,,,,,,Alice Bacciarelli (Primary Teacher) and Frances Kelly (Business Manager),Helen.Hill@st-johnvianney.edin.sch.uk,295
Schools - Primary,RC Primary,St John's RC Primary School,Head Teacher,Barbara Service,Hamilton Terrace,,Edinburgh,EH15 1NB,0131 669 1363,0131 657 3122,Admin@st-johns.edin.sch.uk,,,5529727,YES,,East,Craigentinny/Duddingston,330038,673454,St John`s RC PS,,Roman Catholic,Holy Rood RC High,Edinburgh Catering Services,,Silver,,,Jackie Kelly,Jackie Kelly,,Sylvia Hawthorne,sylvia.hawthorne@ea.edin.sch.uk,"Lorraine Dickson (Wed, Thu, Fri)",07825 387256,,,,,,,,,,,,Cath McTernan (Learning Assistant) and Jacqueline Kelly (Principal Teacher) and Sylvia Hawthorne (Business Manager),Barbara.Service@st-johns.edin.sch.uk,409
Schools - Primary,RC Primary,St Joseph's RC Primary School,Head Teacher,Wynne McDonald,Saughton Road,,Edinburgh,EH11 3RQ,0131 443 4591,0131 444 2802,Admin@st-josephs.edin.sch.uk,http://www.st-josephs.edin.sch.uk,,5529921,YES,,West,Sighthill/Gorgie,320546,671330,St Joseph`s RC PS,,Roman Catholic,St Augustine`s RC High,Amey,,Green Flag,,,Brian Moody,Fiona Orris,,Pamela Soutar,Pamela.Soutar@ea.edin.sch.uk,Paddy Dearlove,07884 203270,,,,,,,,,,,,Brian Moody (Staff),Wynne.McDonald@st-josephs.edin.sch.uk,260
Schools - Primary,RC Primary,St Margaret's RC Primary School,Head Teacher,Katy Finn (Acting),Station Road,South Queensferry,Edinburgh,EH30 9JY,0131 331 1895,0131 331 5493,admin@st-margarets-pri.edin.sch.uk,http://www.st-margarets-pri.edin.sch.uk,,5518121,,,West,Almond,313497,678047,St Margaret`s RC PS,,Roman Catholic,St Augustine`s RC High,Edinburgh Catering Services,,Green Flag,,,Marian Randall,Arlene Davison,,Arlene Davison,Arlene.Davison@ea.edin.sch.uk,Barry McGuigan,0131 319 3200/07799 861494,,,,,,,,,,,,Marian Randall (Principle Teacher) and Sheila Turner (Primary Teacher),Katy.Finn@foxcovert-rc.edin.sch.uk,93
Schools - Primary,RC Primary,St Mark's RC Primary School,Head Teacher,James McDevitt,63 Firrhill Crescent,,Edinburgh,EH13 9EE,0131 441 2948,0131 441 7601,Admin@st-marks.edin.sch.uk,http://www.st-marks.edin.sch.uk,,5530024,YES,,South West,Colinton/Fairmilehead,323212,669361,St Mark`s RC PS,,Roman Catholic,St Thomas of Aquin`s RC High,Edinburgh Catering Services,,Silver,,,Lyndsy Adam,Sarah Munro,,Lyndsy Adam,Lyndsy.Adam@st-marks.edin.sch.uk,Cameron Reid,07824 622936/0131 229 8734,,,,,,,,,,,,Alison Yeoman (Learning Support Teacher),James.McDevitt@st-marks.edin.sch.uk,176
Schools - Primary,RC Primary,St Mary's RC Primary School (Edin),Head Teacher,Nicola Kehoe,63 East London Street,,Edinburgh,EH7 4BW,0131 556 7128,0131 557 2455,Admin@st-marysrc-pri.edin.sch.uk,http://www.st-marysrc-pri.edin.sch.uk,,5530121,,,North,City Centre,325970,674706,St Mary`s RC PS (Edin),,Roman Catholic,St Thomas of Aquin`s RC High,Edinburgh Catering Services,,Green Flag,,,Fiona Hunter,Jacqueline Messer,Yes,Janice Grant,Janice.Grant@ea.edin.sch.uk,Cameron Reid,07824 622936/0131 229 8734,,,,,,,,,,,,Fiona Hunter (Principal Teacher) and Linda Riach (Learning Assistant) and Mhairi-Louise Teden (Primary Teacher),Nicola.Kehoe@st-marysrc-pri.edin.sch.uk,366
Schools - Primary,RC Primary,St Mary's RC Primary School (Leith),Head Teacher,Stephen Gilhooley,30 Links Gardens,,Edinburgh,EH6 7JG,0131 554 7291,0131 554 8523,Admin@st-marys-pri.edin.sch.uk,,,5530229,YES,,North,Leith,327710,676010,St Mary`s RC PS (Leith),,Roman Catholic,Holy Rood RC High,Edinburgh Catering Services,,Green Flag,,,Jim Gillon,Luisa Hancock,,Louise Anderson,Louise.Anderson@ea.edin.sch.uk,Nicola Barclay,07825 842971,,,,,,,,,,,,Jim Gillon (Principal Teacher),Stephen.Gilhooley@st-marys-pri.edin.sch.uk,311
Schools - Primary,RC Primary,St Ninian's RC Primary School,Head Teacher,Angie Brack (Acting),150 Restalrig Road South,,Edinburgh,EH7 6JA,0131 661 3431,0131 652 1458,Admin@st-ninians.edin.sch.uk,http://www.st-ninians.edin.sch.uk,,5530326,YES,,North,Craigentinny/Duddingston,328267,674786,St Ninian`s RC PS,,Roman Catholic,Holy Rood RC High,Edinburgh Catering Services,,Bronze,,,Angela Brack,Patricia Henderson,,Louise Anderson,Louise.Anderson@ea.edin.sch.uk,"Lorraine Dickson (Wed, Thu, Fri)",07825 387256,,,,,,,,,,,,Angie Brack (Principal Teacher ),Angie.Brack@st-ninians.edin.sch.uk,251
Schools - Primary,RC Primary,St Peter's RC Primary School,Head Teacher,Kathleen Nazarian,10 Falcon Road,,Edinburgh,EH10 4AH,0131 447 5742,0131 446 3674,Admin@st-peters.edin.sch.uk,http://www.st-peters.edin.sch.uk,,5530520,YES,,South,Meadows/Morningside,324840,671357,St Peter`s RC PS,,Roman Catholic,St Thomas of Aquin`s RC High,Amey,,Silver,,,Dorothy Johnstone,Margot Connor,,Margo O'Connor,Margo.O`Connor@ea.edin.sch.uk,Cameron Reid,07824 622936/0131 229 8734,,,,,,,,,,,,,Kathleen.Nazarian@st-peters.edin.sch.uk,436
Schools - Primary,ND Primary,Stenhouse Primary School,Head Teacher,Marlene Galashan,4 Saughton Mains Street,,Edinburgh,EH11 3HH,0131 443 1255,0131 467 7792,Admin@stenhouse.edin.sch.uk,http://www.stenhouse.edin.sch.uk,,5529026,YES,,West,Sighthill/Gorgie,321200,671580,Stenhouse PS,,Non-Denominational,Tynecastle High,Edinburgh Catering Services,,Registered,,,Anne Blair,Anne Blair,,Peter Malone,Peter.Malone@ea.edin.sch.uk,Pamela Brown,07884 142774,,,,,,,,,,,,Steven Jamieson (Depute Head Teacher),Marlene.Galashan@stenhouse.edin.sch.uk,317
Schools - Primary,ND Primary,Stockbridge Primary School,Head Teacher,Faye Calder-Kelly,17a Hamilton Place,,Edinburgh,EH3 5BA,0131 332 6109,0131 332 6109,Admin@stockbridge.edin.sch.uk,http://www.stockbridge.edin.sch.uk,,5529123,YES,,North,Inverleith,324690,674700,Stockbridge PS,,Non-Denominational,Broughton High,Edinburgh Catering Services,,Silver,,,Amanda Burton,Amanda Burton,Yes,Kirsten Boyd,Kirsten.Boyd@ea.edin.sch.uk,Robert Ure,07884 216213,,,,,,,,,,,,Amanda Burton (Primary Teacher) and Marion Donohoe (Learning Assistant),Faye.Calder@stockbridge.edin.sch.uk,224
Schools - Primary,ND Primary,The Royal High Primary School,Head Teacher,Joan Brear,61 Northfield Broadway,,Edinburgh,EH8 7RX,0131 669 3200,0131 669 1552,Admin@royalhigh-pri.edin.sch.uk,http://www.royalhigh-pri.edin.sch.uk/,,5528321,YES,,East,Craigentinny/Duddingston,328920,673980,The Royal High PS,,Non-Denominational,Portobello High,Edinburgh Catering Services,,Green Flag,,,Janet Wallace,Janet Wallace,,Brian Cairnie,Brian.Cairnie@ea.edin.sch.uk,Shona Clark (Tues - Fri),0131 669 2324/07776 151522,,,,,,,,,,,,Brian Cairnie (Business Manager) and Janet Wallace (Primary Teacher) and Lindsay Moran (Primary Teacher),Joan.Brear@royalhigh-pri.edin.sch.uk,374
